z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_17,z_18,z_19,z_20,z_21,z_22,z_23,z_24,z_25,z_26,z_27,z_28,z_29,z_30,z_31,label
-0.79491776,1.4426844,-2.4931898,0.6412999,1.0386678,0.119493246,0.7015883,2.0046978,1.4195894,-1.1881397,0.95698076,1.090977,-1.2418238,1.4521303,0.10261549,0.9020324,-0.54125303,0.019293986,0.2476135,-2.0842538,1.5795414,-1.6060416,1.5630425,-0.15524518,0.9764934,-0.093848735,1.4572703,-0.9921119,-0.14473657,-0.31810495,0.83782876,0.40196687,0
-0.04387158,-0.44194221,-1.8648548,0.51407474,-0.075619385,0.088648975,-0.3789357,0.052112043,1.7188195,0.037513852,0.5558188,0.28206742,-0.17364514,-0.8495655,0.5979978,0.38208055,1.060999,0.8083372,-0.7263454,0.97357327,0.089993834,-1.0842246,-0.8328228,-0.3488353,-0.5592359,-0.5260939,2.553962,-0.5506622,0.611301,-0.2068969,1.8010229,-1.4998611,0
-0.3092582,-0.80900013,0.30146495,1.2463672,-2.0024886,-1.0570937,-0.6793162,-0.13942489,3.3259358,-0.36310798,1.5473258,1.3558993,-1.5397009,0.95988184,-0.83356273,-2.011927,0.2049043,1.1696051,-0.1986636,1.039715,-1.1391413,-0.718614,-0.7640683,-0.5030553,-0.5144392,-1.1630013,-1.2894908,-0.8973347,-0.44587362,0.06908186,-0.036594808,-0.5301429,0
-1.277711,0.17534389,-0.7428348,-0.846643,-1.0339944,-1.1951013,0.39655378,0.46035433,-0.054281272,0.039379157,-0.81077397,3.4059467,0.17636943,1.5525532,0.24419722,-1.2012393,-0.29414397,0.65199643,-0.70411134,1.9963138,-0.6864356,0.774721,0.9495711,0.4989431,0.6017052,-1.2703695,-0.18997169,-0.15432715,0.030254543,0.8191917,1.1082852,-2.750633,0
-2.4535728,1.3272424,-1.2238679,1.931,-0.45360485,-0.067709096,-0.37669957,0.24823879,0.7693915,-1.6658149,-0.7500639,0.6536727,-0.42705038,-0.9032336,1.4927303,0.78042984,0.8465509,1.0364635,0.21280271,-0.87272227,-2.6517415,1.6082088,-0.6105714,0.29257572,-0.1335274,0.46688056,0.5020658,1.4522787,0.7649415,-0.96608305,-0.09193182,1.4066744,0
0.3437094,0.5439365,-1.0797687,0.77399844,-0.077442944,1.110123,-0.35575593,-0.13290079,0.7761239,-0.81126523,-0.22309291,0.48166242,-0.24433804,-0.96279997,0.68837017,0.74123013,0.15362471,1.3769375,-0.76300764,-1.4568878,0.6447118,1.1865953,0.8730542,0.31158483,-0.31640607,-0.49562123,0.65554994,0.88650733,0.89834243,0.6034844,-0.12690055,1.8650714,0
-0.08229436,-2.377473,-0.521131,0.9016305,0.5778672,0.21073374,0.008860782,-0.18970375,0.13055763,1.0898677,0.4131077,-0.5461708,-0.17450726,-0.13858181,-0.267043,1.0523549,1.4164315,-1.2495427,-0.08885059,-2.2814167,-0.91532063,-1.8534735,1.2107608,0.46759892,-0.28060547,-0.1301024,-0.08220187,-0.99896055,-0.8321985,-0.7348766,0.26475024,1.3820606,0
0.7855364,0.023494355,2.0966754,-0.39496112,-1.1979713,1.7419198,-0.6743943,0.10564245,2.4466717,0.88885856,1.7836134,-0.22196251,0.1107658,0.4292682,0.10769069,0.32805046,1.0023459,1.7833982,-1.3180374,-0.2610303,1.6506923,-1.2382473,-0.16844852,-0.4158746,-0.5956887,-0.20592487,1.7041228,0.1218155,-0.21290392,-0.94503,1.6522373,-0.46304807,0
1.3432949,-1.4923738,0.56633854,-0.36683673,-0.1154159,-0.27289703,1.2890878,-0.42986268,1.211859,0.5375156,1.4685522,0.81160927,-0.27398413,-3.2505934,0.9628294,0.80446833,-0.65726817,-0.7838446,0.16528723,2.4910893,0.035505794,1.0460888,0.054054596,-1.1763266,-0.23488036,0.55562115,0.71716046,-2.257419,-0.6890098,0.5725136,1.5882967,1.364057,0
0.062470943,-0.6034635,-0.47740966,-0.27098727,-1.6248244,1.1602262,-0.09009557,-0.26779753,1.8120502,0.7578794,1.2989115,-0.1564293,0.36657882,0.044463217,1.4360934,-0.11435066,0.30487666,1.0025275,0.16987692,0.7817189,-0.90433395,-0.68140405,0.48112148,-0.58868206,0.064136334,-0.30562338,2.1774929,-0.6164129,-0.3400004,1.2200934,2.2239606,-1.3838614,0
