z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,label
-0.6001786,-0.11008577,-1.5554321,-1.1270655,-0.14509037,0.7260459,-0.40516925,1.471745,0
-0.030280974,-0.9567238,-1.6999867,0.49787205,-0.87784034,0.18669172,-1.1071684,1.637033,0
-1.2249897,-0.7450895,1.2585115,-1.7481933,0.26502126,0.83730704,-1.5885649,0.025255835,0
-0.21953383,0.26044124,-1.3696547,-1.8295414,0.7161343,0.6029545,0.10603717,1.0238128,0
-0.053285416,0.2603714,-1.4461186,-1.6883545,0.71384853,0.52306926,0.16206571,0.9394214,0
-0.32660785,2.2821548,-1.5316314,0.44980103,1.1781416,1.3549157,-0.72973436,-1.4011934,0
-0.21747181,-0.23227203,-1.374635,-1.2862536,0.10099706,0.51178396,-0.36267057,1.7935157,0
0.13591094,-1.3882209,0.6964527,-1.2786988,0.58631724,0.017797612,1.109377,-2.0115561,0
0.016381837,0.84621465,-0.3012819,-1.6764301,1.0693781,-0.092010275,-0.0606461,-1.8933681,0
0.6358529,-0.9349818,1.1244886,2.6842327,-1.4189717,1.6803743,-1.7782921,-0.05781928,0
0.9351584,-1.3485665,1.4850471,2.4648125,-1.5215626,1.524576,-1.4215236,-0.1532143,0
-0.48533243,-0.9082358,0.8627061,-2.0416799,0.7424004,-0.11601998,-1.1108733,0.91520786,0
0.029003583,0.7893178,-1.5294548,-1.6075561,1.0558454,0.53344524,0.3862055,0.71548206,0
0.11188267,-1.8763729,1.2178066,-0.92782044,-0.22452582,-1.7486594,-0.25979972,-1.9403851,0
-0.026053388,0.66086686,-1.2383978,-1.860848,1.0376483,0.78249675,0.36018002,0.3976814,0
-1.4071743,-0.8969048,0.96454215,-1.7009723,-0.24887294,0.82261366,-1.909761,0.32197937,0
-0.4919918,-0.1524613,-1.4369173,-1.2558666,-0.013032408,0.46772352,-0.47783467,1.8333471,0
1.0876874,-0.5634023,-0.79645395,1.7017963,1.4167535,1.6952512,0.06760199,1.3371311,0
-0.22638428,1.3931127,-1.4571174,-1.2973143,1.741333,0.64663696,0.6042302,-0.32874575,0
-0.34895116,-0.005256122,-1.4113048,-1.4675791,0.18689613,0.60474396,-0.27576888,1.5300204,0
-1.1599872,-1.6379853,-0.37216854,2.037853,-1.3201116,-0.15937477,-2.0814016,0.77473116,0
1.1013238,-1.2109513,1.3009905,2.5062492,-1.2187907,1.5775467,-1.2259243,0.075888135,0
-0.10130305,0.03503456,-1.4514073,-1.7104036,0.40923154,0.6346887,0.10449635,1.2728368,0
